event_id,event_type,event_created_at,object_id,center_id,current_bee_suite_state,expected_mutation_after_approved_replay,idempotency_evidence,risk,recommendation
evt_1TvpFvGk8ncxY2N9KoSXeucr,checkout.session.expired,2026-07-22T01:47:31Z,cs_live_c1iIXlBo2xThjIWJ9pGGcwGtIepq0e6tdcKSckAq3D45nzg2RGTMHmK3EU,cmp4ewela003u6alw9ii7uffs,pre_window_no_receipt_center_exists_software_customer_configured_no_payment_method_no_payment_or_invoice_metadata,create_ignored_receipt_only_no_payment_ledger_fulfillment_or_center_change,event_id_and_dedupe_key_unique_expected_absent,low_but_out_of_scope,exclude_unless_in_window_delivery_attempt_is_confirmed_and_replay_is_separately_approved
evt_1Tx87lGk8ncxY2N9O2xRuJfR,checkout.session.expired,2026-07-25T16:08:29Z,cs_live_c1OLAGmL1QcRaaGpMyVhRJqRvkRsfYsNkeOtCzuUTB3F0jDFf5szBKCrnF,cmp4ew8yo001e6alw32jneo3w,pre_window_no_receipt_center_exists_software_customer_configured_no_payment_method_no_payment_or_invoice_metadata,create_ignored_receipt_only_no_payment_ledger_fulfillment_or_center_change,event_id_and_dedupe_key_unique_expected_absent,low_but_scope_unconfirmed,exclude_unless_in_window_delivery_attempt_is_confirmed_and_replay_is_separately_approved
evt_1Ty9xzGk8ncxY2N9l36bIHi5,checkout.session.expired,2026-07-28T12:18:39Z,cs_live_c1voCWm2x7408HJ8s39pWkddWz7DUxvKEhjlxyqjtG2zDIcMrMy1lNtkOI,cmp4ew5yx00046alw8i1yf63m,no_receipt_center_exists_software_customer_configured_no_payment_method_no_payment_or_invoice_metadata,create_ignored_receipt_only_no_payment_ledger_fulfillment_or_center_change,event_id_and_dedupe_key_unique_expected_absent,low_but_production_write,replay_one_at_a_time_only_after_separate_replay_approval
evt_1TyakBGk8ncxY2N9lHkTieER,checkout.session.expired,2026-07-29T16:54:11Z,cs_live_c1duujSXu1L3AxCpiXNvBQ0hWSvAo1r59Y5tInXtUVMSVtsZrRWWlMaf2w,cmp4ew5yx00046alw8i1yf63m,no_receipt_center_exists_software_customer_configured_no_payment_method_no_payment_or_invoice_metadata,create_ignored_receipt_only_no_payment_ledger_fulfillment_or_center_change,event_id_and_dedupe_key_unique_expected_absent,low_but_production_write,replay_one_at_a_time_only_after_separate_replay_approval
evt_1TybBUGk8ncxY2N9EXcvKXnK,checkout.session.expired,2026-07-29T17:22:24Z,cs_live_c1JWWTBDGYarTVeVC7Au65Tzjj9tOONKlOuMIkqxrky4mZBuI8rBSj4ZCG,cmp4ew5yx00046alw8i1yf63m,no_receipt_center_exists_software_customer_configured_no_payment_method_no_payment_or_invoice_metadata,create_ignored_receipt_only_no_payment_ledger_fulfillment_or_center_change,event_id_and_dedupe_key_unique_expected_absent,low_but_production_write,replay_one_at_a_time_only_after_separate_replay_approval
evt_1TybBWGk8ncxY2N9KmsMIMWk,checkout.session.expired,2026-07-29T17:22:26Z,cs_live_c1MAner6QuALDxNT8hChb82GbDoJmVplrwWlIGVMkDwDr9BYjW3tsfoWMC,cmp4ew5yx00046alw8i1yf63m,no_receipt_center_exists_software_customer_configured_no_payment_method_no_payment_or_invoice_metadata,create_ignored_receipt_only_no_payment_ledger_fulfillment_or_center_change,event_id_and_dedupe_key_unique_expected_absent,low_but_production_write,replay_one_at_a_time_only_after_separate_replay_approval
evt_1TyjJgGk8ncxY2N9lx0yiVbf,account.updated,2026-07-30T02:03:24Z,acct_1T84IEGk8ncxY2N9,,no_receipt_no_center_mapped_to_platform_account,create_ignored_receipt_only_no_center_or_payout_change,event_id_and_dedupe_key_unique_expected_absent,low_but_production_write,do_not_replay_unless_receipt_completeness_is_approved
evt_1TyjMhGk8ncxY2N9uMn40naC,account.updated,2026-07-30T02:06:31Z,acct_1T84IEGk8ncxY2N9,,no_receipt_no_center_mapped_to_platform_account,create_ignored_receipt_only_no_center_or_payout_change,event_id_and_dedupe_key_unique_expected_absent,low_but_production_write,do_not_replay_unless_receipt_completeness_is_approved
evt_1TyjREGk8ncxY2N9PlvENJT6,account.updated,2026-07-30T02:11:12Z,acct_1T84IEGk8ncxY2N9,,no_receipt_no_center_mapped_to_platform_account,create_ignored_receipt_only_no_center_or_payout_change,event_id_and_dedupe_key_unique_expected_absent,low_but_production_write,do_not_replay_unless_receipt_completeness_is_approved
evt_1TyxdEGk8ncxY2N98pkoToDp,checkout.session.expired,2026-07-30T17:20:32Z,cs_live_c1K9bpdr47sbMf8Ws01Zi88USgeBwTMiVDlBYxPngus9pVD9kj4kodq2hL,cmp4ew5yx00046alw8i1yf63m,no_receipt_center_exists_software_customer_configured_no_payment_method_no_payment_or_invoice_metadata,create_ignored_receipt_only_no_payment_ledger_fulfillment_or_center_change,event_id_and_dedupe_key_unique_expected_absent,low_but_production_write,replay_one_at_a_time_only_after_separate_replay_approval
